"","X0","X1","X2","MeanDecreaseAccuracy","MeanDecreaseGini"
"A0_count",0.0308516678677642,0.00900719278767919,0.00717429650790975,0.0135165038017482,432.155523651691
"F0_count",0.0295737112608523,0.0123035878959205,0.0127508818985495,0.0161746780601636,426.637577682068
"shopping_pt_2_F",0.0102786323745089,0.00837671066907612,0.0125806118095466,0.00948469297019571,210.487017947028
"shopping_pt_2_cost",0.0183476078507139,0.0306972055906004,0.025980008714565,0.0272046327315368,592.211247445317
"shopping_pt_min_cost_cost",0.0445802107914483,0.0379872577834742,0.0372355304910716,0.0393140932153366,593.863426127114
"shopping_pt_3_cost",0.0194363935954546,0.0373673609176301,0.0336170123346265,0.0327974998856829,603.782942419014
"last_cost",0.0227210603869589,0.0319667552274538,0.041397418580976,0.0314877648099981,639.566196232248
"last_E",0.0199844375138193,0.00208328341549251,0.000122865455570618,0.00570380671530706,203.078772081668
"shopping_pt_3_F",0.0258491885935482,0.0101520611422498,0.0294675866308517,0.016785548880247,395.187269926534
"car_age_cut",0.0374378761472531,0.00585788332840918,0.0113365883375799,0.0137157533801531,592.806784097093
"A1_count",0.00727427815844041,0.0174926147756021,0.00945899985440598,0.0139125720450607,600.864087024022
"shopping_pt_min_cost_F",0.0272238775435437,0.0149925884010684,0.0236975779128969,0.0191160682828489,618.819281970427
"A2_count",0.00284942808644996,0.0137202635279425,0.0787817197607729,0.0220715719228257,538.719351575928
"shopping_pt_2_A",0.0310650806794211,0.0183790673596648,0.0312611489425062,0.0232900803254457,1824.33728806876
"car_age",0.093478555602525,0.0133215744456404,0.024025900050292,0.0327550661546979,1215.73626186931
"last_F",0.0413526495149405,0.0311503812967394,0.0351025163581343,0.0340266895231597,1253.67825955743
"shopping_pt_3_A",0.10694073064083,0.0448569218204181,0.0887225006047365,0.0658108088617681,3960.10761338549
"last_A",0.436339521513695,0.209895361019933,0.414233143039801,0.293508982367313,6389.85763047999
