"","X1","X2","X3","X4","MeanDecreaseAccuracy","MeanDecreaseGini"
"day",-0.000239394587294837,-0.000157426272392393,5.29332922790951e-05,0.000269971603259347,-5.67586486639678e-05,129.904411529704
"group_size",0.000104301093640358,0.000267441292041551,0.000300862943923047,0.000794152011443321,0.000283073966266079,33.3580485980571
"homeowner",0.00123604526316732,0.00139933652045081,0.00101690456287161,0.00552074077773569,0.00161159365645866,58.4205123694564
"car_age",0.0048994898825507,0.00245240806540434,0.00338932986346166,0.00167586700585467,0.00347175713411479,166.82251122321
"car_value",0.000758099036851763,0.00036253940285525,0.000474297127522491,0.00254699935706879,0.000743289713819498,154.615890667854
"risk_factor",0.00525031952540319,0.000866345262265463,0.00220155680281626,0.00591361270321873,0.00319789782494855,167.368179999835
"age_youngest",0.00192408890598209,0.00382370210563436,0.00236194324830605,0.00311032816471829,0.00261506519362334,175.04706430862
"age_oldest",0.00238851654096977,0.00364399477686671,0.00381356038094651,0.00686202534472665,0.0036560688594497,176.096115077856
"married_couple",0.00012504125484786,7.78128424757119e-05,0.000181782006731764,0.000684933386193353,0.000193171702700055,18.8854849497628
"C_previous",0.0272886472781672,0.0319567196828442,0.0426962903748519,0.0722242102074191,0.0387808724421834,1772.38977987027
"duration_previous",0.00055358124759531,0.000726141802109316,0.000482719973682747,0.000964010913547432,0.000603946450443025,118.339035274338
"last_cost",0.00763778375468963,0.00675859462607769,0.0116258718992713,0.00518659408653616,0.00876937679223966,195.429060428312
"shopping_pt_2_cost",0.00590851400265547,0.00606790847613853,0.0109970430473641,0.00565186742180741,0.00791077328524761,219.2953553067
"shopping_pt_3_cost",0.00768665276684402,0.00765416334392325,0.0116650890413927,0.00576826190149888,0.00904665515199654,202.039202845838
"shopping_pt_min_cost_cost",0.00703001934896069,0.00677775697896475,0.00995134031890049,0.00464736423690348,0.00788121879953245,191.716934322493
"last_A",0.00679125487933283,0.00317163502655961,0.00392984711184434,0.00264450060709849,0.00449581978611823,53.6233248762444
"last_B",0.000190667001501279,0.000174188587140208,0.000306391071631651,-8.65036277560516e-05,0.000205660810106539,17.137665686269
"last_C",0.384386474109685,0.391946409031439,0.3665969035782,0.320752966708543,0.372635403612553,6920.03818049327
"last_D",0.0325627827623155,0.0334727356231742,0.0268985120640445,0.0568450038412383,0.0329686121791663,752.870536543497
"last_E",0.00236262498330577,0.000776130529475322,0.00106509924591802,0.00120490138452869,0.00140481985124048,26.076315240286
