"","X1","X2","X3","MeanDecreaseAccuracy","MeanDecreaseGini"
"day",0.000147542493771175,-4.32166944971472e-05,-3.03044866138877e-05,-9.72912819239686e-06,152.995943320934
"group_size",0.00019222786029405,0.000200663259076528,2.81454987755952e-06,7.1921239320809e-05,34.1656324609897
"homeowner",0.000687845286507564,0.000224542886599391,0.00027417069059797,0.000317045517259604,30.8127105319488
"car_age",0.00549877412477221,0.00247154155380095,0.00110362854265266,0.00198165530031245,190.13089302141
"car_value",0.000555041886652501,0.000623090016659251,0.000110045533239826,0.000283148099121729,153.119386877962
"risk_factor",0.00436624893107593,0.0010586299240901,0.000981372564162424,0.00143804196659344,125.374333803761
"age_youngest",0.00239260670831026,0.0020864568020896,0.000659625926172675,0.00120541000273071,179.98216769999
"age_oldest",0.00171465416203606,0.00193638446910903,0.000869218485873287,0.00121754246272549,182.745582971306
"married_couple",0.000213923589551715,0.000204356630266271,4.69842641356407e-05,0.000103999479117705,19.4810312243472
"C_previous",0.0183201730389371,0.0147921053537574,0.00720410133300298,0.0103500531757334,581.417186065369
"duration_previous",0.00151186887804374,0.000623228375144587,0.000152579263121408,0.000435275867694129,140.72747471043
"last_cost",0.00570714249778087,0.0059922990125798,0.00363567372808532,0.00443201962328672,223.344227213138
"shopping_pt_2_cost",0.00597967140096699,0.00562016432821793,0.00340286756629423,0.00423554181121653,245.312996928702
"shopping_pt_3_cost",0.00589596782710492,0.00549354717934696,0.00392487927320327,0.00453349431818738,228.580683842099
"shopping_pt_min_cost_cost",0.00607805682892019,0.00563036188717064,0.00452574817617312,0.00497634492641796,215.161157549333
"last_A",0.00668449003594254,0.00223389432679408,0.00127758468243656,0.00219326019056262,61.9316256448893
"last_B",0.000687005634816642,0.000252446538189749,8.67539190780448e-05,0.000201941848403647,17.6495492906005
"last_C",0.16837324723389,0.0602287800638391,0.0137538957967707,0.0442418761977929,1224.02135523155
"last_D",0.528526068404838,0.443069064738289,0.16293718435136,0.273142284830644,9545.15067556721
"last_E",0.00341521152534124,0.00121113309618892,0.000228315410372074,0.000863583955904572,31.3301719150898
"last_F",0.00371127261844675,0.00155562335758668,0.000585167869928734,0.00120915892731592,58.9683525615428
"last_G",0.00448763535440269,0.00294983852746873,0.000972727858010612,0.00187131283380952,81.0662252710573
"shopping_pt_2_A",0.00286589858689692,0.00172959926715652,0.000775590223385134,0.00126145649273978,63.0184913950115
"shopping_pt_2_B",0.000360615507779109,0.000456712540177274,0.000180130730588939,0.000265592319610535,18.0507853254917
"shopping_pt_2_C",0.0118296473798849,0.0148148400970746,0.00289190248321676,0.00671933063599794,606.713184163623
"shopping_pt_2_D",0.0415272278463719,0.025843071264904,0.00723994178417916,0.0158617251639701,3142.57530637593
"shopping_pt_2_E",0.000844163680527721,0.000606461618816408,0.000183478036061192,0.000363855256402357,18.7546489311146
"shopping_pt_2_F",0.00175619531750646,0.00172516188065933,0.000679140256048917,0.00105366384370831,54.7996516677165
"shopping_pt_2_G",0.00239230151571994,0.00191402530537517,0.000637196609996399,0.00115129767355321,68.6765325491482
"shopping_pt_3_A",0.00169837875728115,0.00156487027216679,0.00129958426666551,0.00140946031582312,38.5681908405386
"shopping_pt_3_B",0.000471817186219842,0.000290924631494003,0.000118858183800867,0.000202931784761376,16.8957225381473
"shopping_pt_3_C",0.0482736277839083,0.0314749438684819,0.00487183986786494,0.0164460882732879,685.634828301007
"shopping_pt_3_D",0.175610568616037,0.126247185464685,0.0309332787387993,0.0710469030376233,5422.78918660633
