"","X1","X2","X3","X4","MeanDecreaseAccuracy","MeanDecreaseGini"
"day",2.38717325750839e-05,0.00019556344990999,0.000190585496437655,0.0001466661333997,0.000153825955059479,222.316673928072
"group_size",0.0001141899905738,3.21084686518704e-05,-1.36250369482049e-05,0.000262714098789852,5.43379044177096e-05,57.5363682598266
"homeowner",0.000299621232310566,8.6504532600036e-05,0.000406556966824309,-7.22035114386455e-06,0.000225043637224849,32.6530238591062
"car_age",0.00220138261964253,0.00252622572970894,0.000618622869334834,0.00182701686048155,0.00179605776284496,258.153099680581
"car_value",0.000131788625270095,4.1875330812535e-05,8.44135463133369e-05,0.000570126208055136,0.000119037227920359,212.176183510417
"risk_factor",0.00699009178831516,0.00253792928111498,-6.89534411250437e-05,0.00866755372052338,0.00316593686079546,224.43643627137
"age_youngest",0.00484980564844292,0.00219707101020453,0.00164503226086413,0.00223572094754854,0.00258257402302505,275.781733363543
"age_oldest",0.00529735787626878,0.00207874077585062,0.00211531396283787,0.00247913967399159,0.00279694394986205,277.646806830272
"married_couple",-1.24053977180428e-05,0.000120659695101285,2.80237811448308e-06,0.000104877631942193,5.39097729386056e-05,29.360205869784
"C_previous",0.00196253827441841,0.000886683418205633,0.00124870354265451,0.00209998501490739,0.00133065304882735,141.354217842461
"duration_previous",0.00319874221912779,0.000632505712673759,0.000547726064602669,0.00222084933444507,0.00127783539731373,231.182662300209
"last_cost",0.00595031079752654,0.0066016843488963,0.00514690918648001,0.00296733511087785,0.00569509805332769,304.085115540753
"shopping_pt_2_cost",0.00617166902300297,0.00631232143481871,0.00509494846375658,0.00644529578775517,0.00591154762563726,329.487965496768
"shopping_pt_3_cost",0.00581704484360784,0.00630093683051937,0.00501248406385343,0.00529709036497986,0.00570577299222584,314.900945513939
"shopping_pt_min_cost_cost",0.00659326548912213,0.00665450753711397,0.0054805502969535,0.00265087917366963,0.0059292041888052,297.555852594212
"last_A",0.00137223596952392,0.00631887993406995,0.00205240678800926,0.00252300503878434,0.00361132481649158,56.620995814863
"last_B",0.000354644274423878,0.000554189851599294,0.000159645620087799,9.08266592824774e-05,0.000347651666450344,28.0578714681487
"last_C",0.00298210837619927,0.00280064719905131,0.00131556897896209,0.00478579897418658,0.00254147617812514,91.2256287461712
"last_D",0.0013689492105652,0.00245167950900839,0.000828718261063931,0.00392267470897428,0.00183777496697958,54.1811384203938
"last_E",0.000806903170804046,0.00250936757235771,0.00056260350582222,0.00159854947726539,0.00145995128490559,35.6781970632788
"last_F",0.0042240342247496,0.00964661571096081,0.00284645820428227,0.00588609444744369,0.00604190284087711,123.80878582541
"last_G",0.262532841504714,0.230441153869108,0.214153401820986,0.250595522984312,0.233708836592346,5345.14929502102
"shopping_pt_2_A",0.00214659818915045,0.00187147767843891,0.0010931874329963,0.00283915145202527,0.00176560924293712,47.0647523763195
"shopping_pt_2_B",0.000337251274210334,0.000454285950411206,0.000185135710009841,2.52770685907588e-05,0.000309201300264207,23.8963295613399
"shopping_pt_2_C",0.00194625882768974,0.0014456147963945,0.00113362510364034,0.00429609924365403,0.00169778526239498,83.8089820155793
"shopping_pt_2_D",0.00086683535979331,0.0014513490753139,0.000689684363449926,0.00368485320231056,0.00127949546437759,51.3292630276325
