"","size.train","nrow.train","nrow.test","type.model","type.set","letter.to.test","value.to.test","deviance","error.test","error.train","nb.ok.test","nb.ko.test","nb.ok.train","nb.ko.train"
"1",0.5,24153,12074,"glm","with_location_with_risk_factor","A","0",3549.87617311052,0.0204571807189001,0.0213638057384176,11827,247,23637,516
"2",0.5,24153,12074,"glm","with_location_with_risk_factor","A","1",7282.82125499251,0.0437303296339241,0.0426862087525359,11546,528,23122,1031
"3",0.5,24153,12074,"glm","with_location_with_risk_factor","A","2",5657.80421079477,0.0315554083153884,0.0316730840889331,11693,381,23388,765
"4",0.5,24153,12074,"glm","with_location_with_risk_factor","A","ALL",NA,0.0478714593341063,0.0478615492899433,11496,578,22997,1156
"5",0.7,33815,12074,"glm","with_location_with_risk_factor","A","0",4956.03981085676,0.0205400033129038,0.0205825816945143,11826,248,33119,696
"6",0.7,33815,12074,"glm","with_location_with_risk_factor","A","1",10099.7150624126,0.0438131522279278,0.0416383261866036,11545,529,32407,1408
"7",0.7,33815,12074,"glm","with_location_with_risk_factor","A","2",7657.41294953539,0.0315554083153884,0.030104982995712,11693,381,32797,1018
"8",0.7,33815,12074,"glm","with_location_with_risk_factor","A","ALL",NA,0.04795428192811,0.0461629454384149,11495,579,32254,1561
"9",0.9,43475,12074,"glm","with_location_with_risk_factor","A","0",6460.73328510836,0.0202087129368892,0.0208165612420932,11830,244,42570,905
"10",0.9,43475,12074,"glm","with_location_with_risk_factor","A","1",13059.124075645,0.0429849262878913,0.0416561242093157,11555,519,41664,1811
"11",0.9,43475,12074,"glm","with_location_with_risk_factor","A","2",9985.46412465487,0.0312241179393739,0.030316273720529,11697,377,42157,1318
"12",0.9,43475,12074,"glm","with_location_with_risk_factor","A","ALL",NA,0.0472088785820772,0.0463944795859689,11504,570,41458,2017
