"","size.train","nrow.train","nrow.test","type.model","type.set","letter.to.test","value.to.test","deviance","error.test","error.train","nb.ok.test","nb.ko.test","nb.ok.train","nb.ko.train"
"1",0.5,24981,12487,"glm","with_location_with_risk_factor","C","1",4957.37834033548,0.0313926483542885,0.0294623914174773,12095,392,24245,736
"2",0.5,24981,12487,"glm","with_location_with_risk_factor","C","2",6746.85741797277,0.0402818931688957,0.0374284456186702,11984,503,24046,935
"3",0.5,24981,12487,"glm","with_location_with_risk_factor","C","3",8324.00654619823,0.0486105549771763,0.0469556863216044,11880,607,23808,1173
"4",0.5,24981,12487,"glm","with_location_with_risk_factor","C","4",3502.74123229378,0.0195403219348122,0.0191345422521116,12243,244,24503,478
"5",0.5,24981,12487,"glm","with_location_with_risk_factor","C","ALL",NA,0.0699127092175863,0.0664905328049318,11614,873,23320,1661
"6",0.7,34974,12487,"glm","with_location_with_risk_factor","C","1",7038.77571763733,0.0312324817810523,0.0293646708983817,12097,390,33947,1027
"7",0.7,34974,12487,"glm","with_location_with_risk_factor","C","2",9494.38612006282,0.0403619764555137,0.0369417281409047,11983,504,33682,1292
"8",0.7,34974,12487,"glm","with_location_with_risk_factor","C","3",11390.1070003505,0.0484503884039401,0.0450048607537028,11882,605,33400,1574
"9",0.7,34974,12487,"glm","with_location_with_risk_factor","C","4",4855.71373577102,0.0194602386481941,0.0187281980900097,12244,243,34319,655
"10",0.7,34974,12487,"glm","with_location_with_risk_factor","C","ALL",NA,0.0697525426443501,0.0650197289414994,11616,871,32700,2274
"11",0.9,44966,12487,"glm","with_location_with_risk_factor","C","1",9213.98499725412,0.0311523984944342,0.0297780545300894,12098,389,43627,1339
"12",0.9,44966,12487,"glm","with_location_with_risk_factor","C","2",12314.0363511391,0.0403619764555137,0.0377173864697772,11983,504,43270,1696
"13",0.9,44966,12487,"glm","with_location_with_risk_factor","C","3",15042.6521375814,0.0484503884039401,0.0465907574611929,11882,605,42871,2095
"14",0.9,44966,12487,"glm","with_location_with_risk_factor","C","4",6453.31545388018,0.0195403219348122,0.0194813859360406,12243,244,44090,876
"15",0.9,44966,12487,"glm","with_location_with_risk_factor","C","ALL",NA,0.0697525426443501,0.06678379219855,11616,871,41963,3003
