"","size.train","nrow.train","nrow.test","type.model","type.set","letter.to.test","value.to.test","deviance","error.test","error.train","nb.ok.test","nb.ko.test","nb.ok.train","nb.ko.train"
"1",0.5,24154,12074,"glm","with_location_with_risk_factor","D","1",1951.77272248732,0.0142454861686268,0.0129999171979796,11902,172,23840,314
"2",0.5,24154,12074,"glm","with_location_with_risk_factor","D","2",4601.33874332344,0.0267516978631771,0.0268692556098369,11751,323,23505,649
"3",0.5,24154,12074,"glm","with_location_with_risk_factor","D","3",4153.58653891487,0.0260891171111479,0.0251304131820816,11759,315,23547,607
"4",0.5,24154,12074,"glm","with_location_with_risk_factor","D","ALL",NA,0.0335431505714759,0.0324997929949491,11669,405,23369,785
"5",0.7,33815,12074,"glm","with_location_with_risk_factor","D","1",2906.2094765102,0.0142454861686268,0.0135442850805855,11902,172,33357,458
"6",0.7,33815,12074,"glm","with_location_with_risk_factor","D","2",6255.65134579055,0.0265032300811661,0.026142244566021,11754,320,32931,884
"7",0.7,33815,12074,"glm","with_location_with_risk_factor","D","3",5836.44312166884,0.0261719397051516,0.0248410468726896,11758,316,32975,840
"8",0.7,33815,12074,"glm","with_location_with_risk_factor","D","ALL",NA,0.0334603279774723,0.0322637882596481,11670,404,32724,1091
"9",0.9,43477,12074,"glm","with_location_with_risk_factor","D","1",3632.09455175117,0.0144939539506377,0.0129953768659291,11899,175,42912,565
"10",0.9,43477,12074,"glm","with_location_with_risk_factor","D","2",8088.37443967656,0.0268345204571807,0.0259677530648389,11750,324,42348,1129
"11",0.9,43477,12074,"glm","with_location_with_risk_factor","D","3",7480.08656801766,0.0267516978631771,0.0246567150447363,11751,323,42405,1072
"12",0.9,43477,12074,"glm","with_location_with_risk_factor","D","ALL",NA,0.0340400861354978,0.0318099224877521,11663,411,42094,1383
