"","size.train","nrow.train","nrow.test","type.model","type.set","letter.to.test","value.to.test","deviance","error.test","error.train","nb.ok.test","nb.ko.test","nb.ok.train","nb.ko.train"
"1",0.5,24153,12074,"glm","with_location_with_risk_factor","F","0",2642.84821984587,0.0161504058307106,0.016147062476711,11879,195,23763,390
"2",0.5,24153,12074,"glm","with_location_with_risk_factor","F","1",5405.44316781968,0.0292363756832864,0.0293959342524738,11721,353,23443,710
"3",0.5,24153,12074,"glm","with_location_with_risk_factor","F","2",6784.3156343663,0.0390094417757164,0.0392083799113982,11603,471,23206,947
"4",0.5,24153,12074,"glm","with_location_with_risk_factor","F","3",1822.86079718755,0.00902766274639722,0.010392083799114,11965,109,23902,251
"5",0.5,24153,12074,"glm","with_location_with_risk_factor","F","ALL",NA,0.0467119430180553,0.0475717302198485,11510,564,23004,1149
"6",0.7,33815,12074,"glm","with_location_with_risk_factor","F","0",3435.37178905613,0.016067583236707,0.0151412095224013,11880,194,33303,512
"7",0.7,33815,12074,"glm","with_location_with_risk_factor","F","1",7432.44884484139,0.0294020208712937,0.028833357977229,11719,355,32840,975
"8",0.7,33815,12074,"glm","with_location_with_risk_factor","F","2",9171.90751184303,0.0385953288056982,0.037498151707822,11608,466,32547,1268
"9",0.7,33815,12074,"glm","with_location_with_risk_factor","F","3",2284.97661108814,0.00886201755838993,0.00907881117847109,11967,107,33508,307
"10",0.7,33815,12074,"glm","with_location_with_risk_factor","F","ALL",NA,0.0464634752360444,0.0452757651929617,11513,561,32284,1531
"11",0.9,43475,12074,"glm","with_location_with_risk_factor","F","0",4540.68977760614,0.0161504058307106,0.0154801610120759,11879,195,42802,673
"12",0.9,43475,12074,"glm","with_location_with_risk_factor","F","1",9498.41350876701,0.0292363756832864,0.0283841288096607,11721,353,42241,1234
"13",0.9,43475,12074,"glm","with_location_with_risk_factor","F","2",11762.9034440081,0.0383468610236873,0.0371247843588269,11611,463,41861,1614
"14",0.9,43475,12074,"glm","with_location_with_risk_factor","F","3",3060.94076007259,0.00869637237038264,0.0093156986774008,11969,105,43070,405
"15",0.9,43475,12074,"glm","with_location_with_risk_factor","F","ALL",NA,0.0462150074540335,0.0451523864289822,11516,558,41512,1963
