"","size.train","nrow.train","nrow.test","type.model","type.set","letter.to.test","value.to.test","deviance","error.test","error.train","nb.ok.test","nb.ko.test","nb.ok.train","nb.ko.train"
"1",0.5,24154,12074,"glm","with_location_with_risk_factor","G","1",7378.98958126807,0.0578101706145436,0.0564295768816759,11376,698,22791,1363
"2",0.5,24154,12074,"glm","with_location_with_risk_factor","G","2",10768.7483347611,0.0799238032135167,0.0806491678396953,11109,965,22206,1948
"3",0.5,24154,12074,"glm","with_location_with_risk_factor","G","3",9783.82442097814,0.0586383965545801,0.0623913223482653,11366,708,22647,1507
"4",0.5,24154,12074,"glm","with_location_with_risk_factor","G","4",6133.27180250165,0.0361934735795925,0.0389169495735696,11637,437,23214,940
"5",0.5,24154,12074,"glm","with_location_with_risk_factor","G","ALL",NA,0.116282921981116,0.119193508321603,10670,1404,21275,2879
"6",0.7,33816,12074,"glm","with_location_with_risk_factor","G","1",10480.9061078676,0.0575617028325327,0.0568961438372368,11379,695,31892,1924
"7",0.7,33816,12074,"glm","with_location_with_risk_factor","G","2",15015.1923432998,0.079840980619513,0.0801691506978945,11110,964,31105,2711
"8",0.7,33816,12074,"glm","with_location_with_risk_factor","G","3",13139.8753541498,0.0583899287725692,0.0589957416607523,11369,705,31821,1995
"9",0.7,33816,12074,"glm","with_location_with_risk_factor","G","4",8321.0058358101,0.0362762961735962,0.0376153300212917,11636,438,32544,1272
"10",0.7,33816,12074,"glm","with_location_with_risk_factor","G","ALL",NA,0.116034454199106,0.116838183108588,10673,1401,29865,3951
"11",0.9,43476,12074,"glm","with_location_with_risk_factor","G","1",13423.1047244945,0.0579758158025509,0.0564449351366271,11374,700,41022,2454
"12",0.9,43476,12074,"glm","with_location_with_risk_factor","G","2",19252.3204143022,0.0806692065595494,0.0798371515318797,11100,974,40005,3471
"13",0.9,43476,12074,"glm","with_location_with_risk_factor","G","3",17043.0432694322,0.0585555739605764,0.05961910019321,11367,707,40884,2592
"14",0.9,43476,12074,"glm","with_location_with_risk_factor","G","4",10830.8075825904,0.0361934735795925,0.0379289723065599,11637,437,41827,1649
"15",0.9,43476,12074,"glm","with_location_with_risk_factor","G","ALL",NA,0.116697034951135,0.116915079584138,10665,1409,38393,5083
