"","size.train","nrow.train","nrow.test","type.model","type.set","letter.to.test","value.to.test","deviance","error.test","error.train","nb.ok.test","nb.ko.test","nb.ok.train","nb.ko.train"
"1",0.5,13825,6911,"glm","with_location_without_risk_factor","A","0",3630.04975773779,0.0374764867602373,0.0381916817359855,6652,259,13297,528
"2",0.5,13825,6911,"glm","with_location_without_risk_factor","A","1",6315.23154723667,0.0724931268991463,0.0701627486437613,6410,501,12855,970
"3",0.5,13825,6911,"glm","with_location_without_risk_factor","A","2",4819.73467451339,0.0526696570684416,0.0513562386980108,6547,364,13115,710
"4",0.5,13825,6911,"glm","with_location_without_risk_factor","A","ALL",NA,0.0813196353639126,0.0798553345388788,6349,562,12721,1104
"5",0.7,19356,6911,"glm","with_location_without_risk_factor","A","0",5276.04033645287,0.038199971060628,0.0397809464765447,6647,264,18586,770
"6",0.7,19356,6911,"glm","with_location_without_risk_factor","A","1",9135.67563755619,0.0729272174793807,0.0741372184335607,6407,504,17921,1435
"7",0.7,19356,6911,"glm","with_location_without_risk_factor","A","2",6987.08984110247,0.0526696570684416,0.0538851002273197,6547,364,18313,1043
"8",0.7,19356,6911,"glm","with_location_without_risk_factor","A","ALL",NA,0.0818984228042251,0.0839016325687125,6345,566,17732,1624
"9",0.9,24886,6911,"glm","with_location_without_risk_factor","A","0",6652.5465740784,0.0379105773404717,0.03865627260307,6649,262,23924,962
"10",0.9,24886,6911,"glm","with_location_without_risk_factor","A","1",11598.5231223356,0.0729272174793807,0.0724905569396448,6407,504,23082,1804
"11",0.9,24886,6911,"glm","with_location_without_risk_factor","A","2",8952.62400045958,0.0529590507885979,0.0540062685847464,6545,366,23542,1344
"12",0.9,24886,6911,"glm","with_location_without_risk_factor","A","ALL",NA,0.0818984228042251,0.0825765490637306,6345,566,22831,2055
