"","size.train","nrow.train","nrow.test","type.model","type.set","letter.to.test","value.to.test","deviance","error.test","error.train","nb.ok.test","nb.ko.test","nb.ok.train","nb.ko.train"
"1",0.5,13212,6605,"glm","with_location_without_risk_factor","C","1",2639.96283651312,0.0295230885692657,0.0274750227066303,6410,195,12849,363
"2",0.5,13212,6605,"glm","with_location_without_risk_factor","C","2",3210.07325656444,0.0383043149129447,0.0330003027550711,6352,253,12776,436
"3",0.5,13212,6605,"glm","with_location_without_risk_factor","C","3",2807.75445484734,0.0352763058289175,0.0304268846503179,6372,233,12810,402
"4",0.5,13212,6605,"glm","with_location_without_risk_factor","C","4",671.580864814424,0.00832702498107494,0.00779594308204662,6550,55,13109,103
"5",0.5,13212,6605,"glm","with_location_without_risk_factor","C","ALL",NA,0.0557153671461014,0.049349076597033,6237,368,12560,652
"6",0.7,18498,6605,"glm","with_location_without_risk_factor","C","1",3775.67111332395,0.0301286903860712,0.0281652070494107,6406,199,17977,521
"7",0.7,18498,6605,"glm","with_location_without_risk_factor","C","2",4639.38776866117,0.0389099167297502,0.0341117958698238,6348,257,17867,631
"8",0.7,18498,6605,"glm","with_location_without_risk_factor","C","3",4147.65617985689,0.0354277062831189,0.0316250405449238,6371,234,17913,585
"9",0.7,18498,6605,"glm","with_location_without_risk_factor","C","4",1000.6286835073,0.00847842543527631,0.00794680506000649,6549,56,18351,147
"10",0.7,18498,6605,"glm","with_location_without_risk_factor","C","ALL",NA,0.0564723694171083,0.0509244242620824,6232,373,17556,942
"11",0.9,23781,6605,"glm","with_location_without_risk_factor","C","1",4990.92796217557,0.0299772899318698,0.0283419536604853,6407,198,23107,674
"12",0.9,23781,6605,"glm","with_location_without_risk_factor","C","2",6045.179786965,0.0389099167297502,0.0342290063496068,6348,257,22967,814
"13",0.9,23781,6605,"glm","with_location_without_risk_factor","C","3",5425.74031328723,0.0354277062831189,0.0320423867793617,6371,234,23019,762
"14",0.9,23781,6605,"glm","with_location_without_risk_factor","C","4",1460.49719344891,0.00832702498107494,0.00866237752827888,6550,55,23575,206
"15",0.9,23781,6605,"glm","with_location_without_risk_factor","C","ALL",NA,0.0563209689629069,0.0516378621588663,6233,372,22553,1228
