"","size.train","nrow.train","nrow.test","type.model","type.set","letter.to.test","value.to.test","deviance","error.test","error.train","nb.ok.test","nb.ko.test","nb.ok.train","nb.ko.train"
"1",0.5,13825,6911,"glm","with_location_without_risk_factor","D","1",2964.99066561432,0.0357401244392997,0.0319710669077758,6664,247,13383,442
"2",0.5,13825,6911,"glm","with_location_without_risk_factor","D","2",4477.57133481373,0.0428302705831283,0.0475226039783002,6615,296,13168,657
"3",0.5,13825,6911,"glm","with_location_without_risk_factor","D","3",4049.16358601506,0.0412386051222688,0.0441952983725136,6626,285,13214,611
"4",0.5,13825,6911,"glm","with_location_without_risk_factor","D","ALL",NA,0.0599045000723484,0.0618444846292948,6497,414,12970,855
"5",0.7,19356,6911,"glm","with_location_without_risk_factor","D","1",4178.24833514293,0.0355954275792215,0.0320830750154991,6665,246,18735,621
"6",0.7,19356,6911,"glm","with_location_without_risk_factor","D","2",6099.9409230293,0.0426855737230502,0.0449473031618103,6616,295,18486,870
"7",0.7,19356,6911,"glm","with_location_without_risk_factor","D","3",5399.45934722574,0.0406598176819563,0.0405558999793346,6630,281,18571,785
"8",0.7,19356,6911,"glm","with_location_without_risk_factor","D","ALL",NA,0.059470409492114,0.058793139078322,6500,411,18218,1138
"9",0.9,24886,6911,"glm","with_location_without_risk_factor","D","1",5356.94024569198,0.0353060338590653,0.0317849393233143,6667,244,24095,791
"10",0.9,24886,6911,"glm","with_location_without_risk_factor","D","2",8034.89889981637,0.0426855737230502,0.0462509041228,6616,295,23735,1151
"11",0.9,24886,6911,"glm","with_location_without_risk_factor","D","3",7134.16948310861,0.0406598176819563,0.0416298320340754,6630,281,23850,1036
"12",0.9,24886,6911,"glm","with_location_without_risk_factor","D","ALL",NA,0.0593257126320359,0.0598328377400948,6501,410,23397,1489
