"","size.train","nrow.train","nrow.test","type.model","type.set","letter.to.test","value.to.test","deviance","error.test","error.train","nb.ok.test","nb.ko.test","nb.ok.train","nb.ko.train"
"1",0.5,13825,6912,"glm","with_location_without_risk_factor","F","0",3433.19155907937,0.0377604166666667,0.0360216998191682,6651,261,13327,498
"2",0.5,13825,6912,"glm","with_location_without_risk_factor","F","1",3955.41245534581,0.0454282407407407,0.041374321880651,6598,314,13253,572
"3",0.5,13825,6912,"glm","with_location_without_risk_factor","F","2",6351.09200281159,0.0706018518518518,0.071754068716094,6424,488,12833,992
"4",0.5,13825,6912,"glm","with_location_without_risk_factor","F","3",2714.31769081798,0.0276331018518519,0.0289330922242315,6721,191,13425,400
"5",0.5,13825,6912,"glm","with_location_without_risk_factor","F","ALL",NA,0.0907118055555556,0.0890415913200723,6285,627,12594,1231
"6",0.7,19356,6912,"glm","with_location_without_risk_factor","F","0",4906.41723773853,0.0379050925925926,0.0373010952676173,6650,262,18634,722
"7",0.7,19356,6912,"glm","with_location_without_risk_factor","F","1",5915.53547216643,0.0451388888888889,0.0445856581938417,6600,312,18493,863
"8",0.7,19356,6912,"glm","with_location_without_risk_factor","F","2",9081.07379308577,0.0700231481481482,0.0731556106633602,6428,484,17940,1416
"9",0.7,19356,6912,"glm","with_location_without_risk_factor","F","3",3885.54735047949,0.0269097222222222,0.0285699524695185,6726,186,18803,553
"10",0.7,19356,6912,"glm","with_location_without_risk_factor","F","ALL",NA,0.0899884259259259,0.0918061582971688,6290,622,17579,1777
"11",0.9,24886,6912,"glm","with_location_without_risk_factor","F","0",6133.70434450634,0.0380497685185185,0.0361649119987141,6649,263,23986,900
"12",0.9,24886,6912,"glm","with_location_without_risk_factor","F","1",7585.6373451429,0.0451388888888889,0.0442417423450936,6600,312,23785,1101
"13",0.9,24886,6912,"glm","with_location_without_risk_factor","F","2",11535.1793362251,0.0703125,0.0717270754641164,6426,486,23101,1785
"14",0.9,24886,6912,"glm","with_location_without_risk_factor","F","3",5008.95148554114,0.02734375,0.0282889978301053,6723,189,24182,704
"15",0.9,24886,6912,"glm","with_location_without_risk_factor","F","ALL",NA,0.0904224537037037,0.0902113638190147,6287,625,22641,2245
