"","size.train","nrow.train","nrow.test","type.model","type.set","letter.to.test","value.to.test","deviance","error.test","error.train","nb.ok.test","nb.ko.test","nb.ok.train","nb.ko.train"
"1",0.5,24980,12489,"glm","without_location_with_risk_factor","A","0",5348.42456819725,0.0299463527904556,0.0299439551641313,12115,374,24232,748
"2",0.5,24980,12489,"glm","without_location_with_risk_factor","A","1",10154.3331441978,0.0566898871006486,0.0570056044835869,11781,708,23556,1424
"3",0.5,24980,12489,"glm","without_location_with_risk_factor","A","2",7626.37056451111,0.0400352310032829,0.0400320256204964,11989,500,23980,1000
"4",0.5,24980,12489,"glm","without_location_with_risk_factor","A","ALL",NA,0.0633357354471935,0.0634907926341073,11698,791,23394,1586
"5",0.7,34972,12489,"glm","without_location_with_risk_factor","A","0",7663.47760148158,0.0299463527904556,0.0301669907354455,12115,374,33917,1055
"6",0.7,34972,12489,"glm","without_location_with_risk_factor","A","1",14107.0346566081,0.056609816638642,0.0563879675168706,11782,707,33000,1972
"7",0.7,34972,12489,"glm","without_location_with_risk_factor","A","2",10693.8952570436,0.0401153014652895,0.0397746768843646,11988,501,33581,1391
"8",0.7,34972,12489,"glm","without_location_with_risk_factor","A","ALL",NA,0.0633357354471935,0.0631648175683404,11698,791,32763,2209
"9",0.9,44964,12489,"glm","without_location_with_risk_factor","A","0",9894.47934604065,0.0300264232524622,0.0304020994573437,12114,375,43597,1367
"10",0.9,44964,12489,"glm","without_location_with_risk_factor","A","1",18375.8604822942,0.0567699575626551,0.0571123565519082,11780,709,42396,2568
"11",0.9,44964,12489,"glm","without_location_with_risk_factor","A","2",13926.6527220215,0.0400352310032829,0.0402766657770661,11989,500,43153,1811
"12",0.9,44964,12489,"glm","without_location_with_risk_factor","A","ALL",NA,0.0634158059092001,0.063895560893159,11697,792,42091,2873
