"","size.train","nrow.train","nrow.test","type.model","type.set","letter.to.test","value.to.test","deviance","error.test","error.train","nb.ok.test","nb.ko.test","nb.ok.train","nb.ko.train"
"1",0.5,24981,12487,"glm","without_location_with_risk_factor","C","1",5263.71514421535,0.0313125650676704,0.0296225131099636,12096,391,24241,740
"2",0.5,24981,12487,"glm","without_location_with_risk_factor","C","2",7068.02712688739,0.0405221430287499,0.0377086585805212,11981,506,24039,942
"3",0.5,24981,12487,"glm","without_location_with_risk_factor","C","3",8740.04565235071,0.048370305117322,0.047556142668428,11883,604,23793,1188
"4",0.5,24981,12487,"glm","without_location_with_risk_factor","C","4",3820.72763216926,0.019300072074958,0.0196949681758136,12246,241,24489,492
"5",0.5,24981,12487,"glm","without_location_with_risk_factor","C","ALL",NA,0.0697525426443501,0.0672911412673632,11616,871,23300,1681
"6",0.7,34974,12487,"glm","without_location_with_risk_factor","C","1",7685.55117454012,0.0313125650676704,0.0306227483273289,12096,391,33903,1071
"7",0.7,34974,12487,"glm","without_location_with_risk_factor","C","2",10046.3324499065,0.0405221430287499,0.0378281008749357,11981,506,33651,1323
"8",0.7,34974,12487,"glm","without_location_with_risk_factor","C","3",12116.0152208212,0.048370305117322,0.0466346428775662,11883,604,33343,1631
"9",0.7,34974,12487,"glm","without_location_with_risk_factor","C","4",5350.12602497936,0.019300072074958,0.0194144221421628,12246,241,34295,679
"10",0.7,34974,12487,"glm","without_location_with_risk_factor","C","ALL",NA,0.0697525426443501,0.0672499571109967,11616,871,32622,2352
"11",0.9,44966,12487,"glm","without_location_with_risk_factor","C","1",9724.60446096964,0.0313125650676704,0.0300004447805008,12096,391,43617,1349
"12",0.9,44966,12487,"glm","without_location_with_risk_factor","C","2",12879.8642556369,0.0405221430287499,0.0378952986701063,11981,506,43262,1704
"13",0.9,44966,12487,"glm","without_location_with_risk_factor","C","3",15730.4836269908,0.048370305117322,0.0471244940621803,11883,604,42847,2119
"14",0.9,44966,12487,"glm","without_location_with_risk_factor","C","4",7071.17340514846,0.019300072074958,0.0198816883867811,12246,241,44072,894
"15",0.9,44966,12487,"glm","without_location_with_risk_factor","C","ALL",NA,0.0697525426443501,0.0674509629497843,11616,871,41933,3033
