"","size.train","nrow.train","nrow.test","type.model","type.set","letter.to.test","value.to.test","deviance","error.test","error.train","nb.ok.test","nb.ko.test","nb.ok.train","nb.ko.train"
"1",0.5,24154,12074,"glm","without_location_with_risk_factor","D","1",2288.47656674436,0.0153221798906742,0.0141591454831498,11889,185,23812,342
"2",0.5,24154,12074,"glm","without_location_with_risk_factor","D","2",4931.42218685163,0.0264204074871625,0.0274902707626066,11755,319,23490,664
"3",0.5,24154,12074,"glm","without_location_with_risk_factor","D","3",4677.99964339167,0.0271658108331953,0.0259998343959593,11746,328,23526,628
"4",0.5,24154,12074,"glm","without_location_with_risk_factor","D","ALL",NA,0.034454199105516,0.0338246253208578,11658,416,23337,817
"5",0.7,33815,12074,"glm","without_location_with_risk_factor","D","1",3301.7045355023,0.0148252443266523,0.0141061659027059,11895,179,33338,477
"6",0.7,33815,12074,"glm","without_location_with_risk_factor","D","2",6714.36359464822,0.0264204074871625,0.0262605352654148,11755,319,32927,888
"7",0.7,33815,12074,"glm","without_location_with_risk_factor","D","3",6536.28302376383,0.0266688752691734,0.02540292769481,11752,322,32956,859
"8",0.7,33815,12074,"glm","without_location_with_risk_factor","D","ALL",NA,0.0339572635414941,0.0328848144314653,11664,410,32703,1112
"9",0.9,43477,12074,"glm","without_location_with_risk_factor","D","1",4142.42850383662,0.0150737121086632,0.0135703935414127,11892,182,42887,590
"10",0.9,43477,12074,"glm","without_location_with_risk_factor","D","2",8726.73520088203,0.0264204074871625,0.0261517584009936,11755,319,42340,1137
"11",0.9,43477,12074,"glm","without_location_with_risk_factor","D","3",8448.4952206,0.0269173430511844,0.0252777330542586,11749,325,42378,1099
"12",0.9,43477,12074,"glm","without_location_with_risk_factor","D","ALL",NA,0.0342057313235051,0.0324999424983324,11661,413,42064,1413
