"","size.train","nrow.train","nrow.test","type.model","type.set","letter.to.test","value.to.test","deviance","error.test","error.train","nb.ok.test","nb.ko.test","nb.ok.train","nb.ko.train"
"1",0.5,24980,12488,"glm","without_location_with_risk_factor","F","0",4275.81359661063,0.0232222934016656,0.0245796637309848,12198,290,24366,614
"2",0.5,24980,12488,"glm","without_location_with_risk_factor","F","1",7428.33357357619,0.0353139013452915,0.0391513210568455,12047,441,24002,978
"3",0.5,24980,12488,"glm","without_location_with_risk_factor","F","2",9447.5846391027,0.0505285073670724,0.0539231385108086,11857,631,23633,1347
"4",0.5,24980,12488,"glm","without_location_with_risk_factor","F","3",2990.49091869896,0.0142536835361947,0.0146917534027222,12310,178,24613,367
"5",0.5,24980,12488,"glm","without_location_with_risk_factor","F","ALL",NA,0.0616591928251121,0.0661729383506805,11718,770,23327,1653
"6",0.7,34974,12488,"glm","without_location_with_risk_factor","F","0",5759.53547842233,0.0229820627802691,0.0231600617601647,12201,287,34164,810
"7",0.7,34974,12488,"glm","without_location_with_risk_factor","F","1",10160.1093835993,0.0353139013452915,0.0378852862126151,12047,441,33649,1325
"8",0.7,34974,12488,"glm","without_location_with_risk_factor","F","2",12879.1216199802,0.0503683536194747,0.0516669525933551,11859,629,33167,1807
"9",0.7,34974,12488,"glm","without_location_with_risk_factor","F","3",4146.40169869992,0.0141736066623959,0.0146394464459313,12311,177,34462,512
"10",0.7,34974,12488,"glm","without_location_with_risk_factor","F","ALL",NA,0.0614189622037156,0.0636758735060331,11721,767,32747,2227
"11",0.9,44966,12488,"glm","without_location_with_risk_factor","F","0",7524.96148869706,0.0230621396540679,0.0236845616688164,12200,288,43901,1065
"12",0.9,44966,12488,"glm","without_location_with_risk_factor","F","1",12994.1222345583,0.0353139013452915,0.0375839523195303,12047,441,43276,1690
"13",0.9,44966,12488,"glm","without_location_with_risk_factor","F","2",16524.2661434642,0.0504484304932735,0.051772450295779,11858,630,42638,2328
"14",0.9,44966,12488,"glm","without_location_with_risk_factor","F","3",5261.80374706475,0.0141736066623959,0.0144776053017836,12311,177,44315,651
"15",0.9,44966,12488,"glm","without_location_with_risk_factor","F","ALL",NA,0.0614990390775144,0.0637592847929547,11720,768,42099,2867
