"","size.train","nrow.train","nrow.test","type.model","type.set","letter.to.test","value.to.test","deviance","error.test","error.train","nb.ok.test","nb.ko.test","nb.ok.train","nb.ko.train"
"1",0.5,24154,12074,"glm","without_location_with_risk_factor","G","1",8124.29220477316,0.0593837999006129,0.0585824294112776,11357,717,22739,1415
"2",0.5,24154,12074,"glm","without_location_with_risk_factor","G","2",11622.5928565097,0.0815802550935895,0.083505837542436,11089,985,22137,2017
"3",0.5,24154,12074,"glm","without_location_with_risk_factor","G","3",10777.0765997945,0.0588040417425874,0.0634263476028815,11364,710,22622,1532
"4",0.5,24154,12074,"glm","without_location_with_risk_factor","G","4",6785.20336952826,0.0364419413616034,0.040158979879109,11634,440,23184,970
"5",0.5,24154,12074,"glm","without_location_with_risk_factor","G","ALL",NA,0.118105019049197,0.122836797217852,10648,1426,21187,2967
"6",0.7,33816,12074,"glm","without_location_with_risk_factor","G","1",11493.0856604175,0.0593837999006129,0.0587591672581027,11357,717,31829,1987
"7",0.7,33816,12074,"glm","without_location_with_risk_factor","G","2",16206.6856942097,0.0814974324995859,0.0826531819257156,11090,984,31021,2795
"8",0.7,33816,12074,"glm","without_location_with_risk_factor","G","3",14503.8671241846,0.0589696869305947,0.0603856162763189,11362,712,31774,2042
"9",0.7,33816,12074,"glm","without_location_with_risk_factor","G","4",9210.24425418239,0.0365247639556071,0.0386207712325526,11633,441,32510,1306
"10",0.7,33816,12074,"glm","without_location_with_risk_factor","G","ALL",NA,0.1181878416432,0.120209368346345,10647,1427,29751,4065
"11",0.9,43476,12074,"glm","without_location_with_risk_factor","G","1",14778.2666054261,0.0594666224946165,0.0580090164688564,11356,718,40954,2522
"12",0.9,43476,12074,"glm","without_location_with_risk_factor","G","2",20799.0907166558,0.0819115454696041,0.0821372711380992,11085,989,39905,3571
"13",0.9,43476,12074,"glm","without_location_with_risk_factor","G","3",18735.9637119722,0.0587212191485837,0.0603781396632625,11365,709,40851,2625
"14",0.9,43476,12074,"glm","without_location_with_risk_factor","G","4",11938.5269918499,0.0366075865496107,0.0385040022081148,11632,442,41802,1674
"15",0.9,43476,12074,"glm","without_location_with_risk_factor","G","ALL",NA,0.118353486831208,0.119514214739166,10645,1429,38280,5196
