"","size.train","nrow.train","nrow.test","type.model","type.set","letter.to.test","value.to.test","deviance","error.test","error.train","nb.ok.test","nb.ko.test","nb.ok.train","nb.ko.train"
"1",0.5,13825,6911,"glm","without_location_without_risk_factor","A","0",3800.84335999043,0.0386340616408624,0.0384810126582278,6644,267,13293,532
"2",0.5,13825,6911,"glm","without_location_without_risk_factor","A","1",6651.31704582921,0.0737953986398495,0.0710307414104882,6401,510,12843,982
"3",0.5,13825,6911,"glm","without_location_without_risk_factor","A","2",5143.03626834354,0.0536825350889886,0.0522242314647378,6540,371,13103,722
"4",0.5,13825,6911,"glm","without_location_without_risk_factor","A","ALL",NA,0.0830559976848502,0.0808679927667269,6337,574,12707,1118
"5",0.7,19356,6911,"glm","without_location_without_risk_factor","A","0",5527.95351587726,0.0387787585009405,0.0401425914445133,6643,268,18579,777
"6",0.7,19356,6911,"glm","without_location_without_risk_factor","A","1",9719.72431619575,0.0740847923600058,0.0753771440380244,6399,512,17897,1459
"7",0.7,19356,6911,"glm","without_location_without_risk_factor","A","2",7485.53641261034,0.0538272319490667,0.0547633808638148,6539,372,18296,1060
"8",0.7,19356,6911,"glm","without_location_without_risk_factor","A","ALL",NA,0.0833453914050065,0.0851415581731763,6335,576,17708,1648
"9",0.9,24886,6911,"glm","without_location_without_risk_factor","A","0",6975.54726460847,0.0386340616408624,0.0391384714297195,6644,267,23912,974
"10",0.9,24886,6911,"glm","without_location_without_risk_factor","A","1",12316.3070586782,0.0737953986398495,0.0736558707707145,6401,510,23053,1833
"11",0.9,24886,6911,"glm","without_location_without_risk_factor","A","2",9631.38781375066,0.0536825350889886,0.0547697500602749,6540,371,23523,1363
"12",0.9,24886,6911,"glm","without_location_without_risk_factor","A","ALL",NA,0.0830559976848502,0.0837820461303544,6337,574,22801,2085
