"","size.train","nrow.train","nrow.test","type.model","type.set","letter.to.test","value.to.test","deviance","error.test","error.train","nb.ok.test","nb.ko.test","nb.ok.train","nb.ko.train"
"1",0.5,13826,6910,"glm","without_location_without_risk_factor","C","1",4273.46222596833,0.0376266280752533,0.0426008968609865,6650,260,13237,589
"2",0.5,13826,6910,"glm","without_location_without_risk_factor","C","2",4621.72659991253,0.0467438494934877,0.0457833068132504,6587,323,13193,633
"3",0.5,13826,6910,"glm","without_location_without_risk_factor","C","3",4201.90977978204,0.0445730824891462,0.0436858093447129,6602,308,13222,604
"4",0.5,13826,6910,"glm","without_location_without_risk_factor","C","4",1170.71929865639,0.0125904486251809,0.0114277448285838,6823,87,13668,158
"5",0.5,13826,6910,"glm","without_location_without_risk_factor","C","ALL",NA,0.070767004341534,0.0717488789237668,6421,489,12834,992
"6",0.7,19357,6910,"glm","without_location_without_risk_factor","C","1",6257.12245618122,0.0370477568740955,0.0443250503693754,6654,256,18499,858
"7",0.7,19357,6910,"glm","without_location_without_risk_factor","C","2",6729.30757825249,0.0460202604920405,0.0470630779562949,6592,318,18446,911
"8",0.7,19357,6910,"glm","without_location_without_risk_factor","C","3",6137.36882938374,0.0439942112879884,0.0452549465309707,6606,304,18481,876
"9",0.7,19357,6910,"glm","without_location_without_risk_factor","C","4",1611.80636367427,0.0121562952243126,0.0104871622668802,6826,84,19154,203
"10",0.7,19357,6910,"glm","without_location_without_risk_factor","C","ALL",NA,0.0696092619392185,0.0735651185617606,6429,481,17933,1424
"11",0.9,24887,6910,"glm","without_location_without_risk_factor","C","1",7862.3537496066,0.0367583212735166,0.0430746976333025,6656,254,23815,1072
"12",0.9,24887,6910,"glm","without_location_without_risk_factor","C","2",8628.10021094564,0.0460202604920405,0.0470526781050348,6592,318,23716,1171
"13",0.9,24887,6910,"glm","without_location_without_risk_factor","C","3",7700.12802449176,0.0439942112879884,0.0438783300518343,6606,304,23795,1092
"14",0.9,24887,6910,"glm","without_location_without_risk_factor","C","4",2046.95818621545,0.0121562952243126,0.0104070398199863,6826,84,24628,259
"15",0.9,24887,6910,"glm","without_location_without_risk_factor","C","ALL",NA,0.0694645441389291,0.072206372805079,6430,480,23090,1797
