"","size.train","nrow.train","nrow.test","type.model","type.set","letter.to.test","value.to.test","deviance","error.test","error.train","nb.ok.test","nb.ko.test","nb.ok.train","nb.ko.train"
"1",0.5,13825,6911,"glm","without_location_without_risk_factor","D","1",3345.70424418904,0.0358848212993778,0.0329113924050633,6663,248,13370,455
"2",0.5,13825,6911,"glm","without_location_without_risk_factor","D","2",4984.73490982269,0.0431196643032846,0.0486799276672694,6613,298,13152,673
"3",0.5,13825,6911,"glm","without_location_without_risk_factor","D","3",4695.81359848862,0.041383301982347,0.0454249547920434,6625,286,13197,628
"4",0.5,13825,6911,"glm","without_location_without_risk_factor","D","ALL",NA,0.0601938937925047,0.0635081374321881,6495,416,12947,878
"5",0.7,19356,6911,"glm","without_location_without_risk_factor","D","1",4668.27940727862,0.0360295181594559,0.0327030378177309,6662,249,18723,633
"6",0.7,19356,6911,"glm","without_location_without_risk_factor","D","2",6704.80396199458,0.0431196643032846,0.0455672659640422,6613,298,18474,882
"7",0.7,19356,6911,"glm","without_location_without_risk_factor","D","3",6209.35481028513,0.0412386051222688,0.0410725356478611,6626,285,18561,795
"8",0.7,19356,6911,"glm","without_location_without_risk_factor","D","ALL",NA,0.0601938937925047,0.0596714197148171,6495,416,18201,1155
"9",0.9,24886,6911,"glm","without_location_without_risk_factor","D","1",6027.04139698898,0.0358848212993778,0.0326689705055051,6663,248,24073,813
"10",0.9,24886,6911,"glm","without_location_without_risk_factor","D","2",8789.00589381236,0.0429749674432065,0.0467331029494495,6614,297,23723,1163
"11",0.9,24886,6911,"glm","without_location_without_risk_factor","D","3",8140.49738216962,0.0412386051222688,0.0422727638029414,6626,285,23834,1052
"12",0.9,24886,6911,"glm","without_location_without_risk_factor","D","ALL",NA,0.0600491969324266,0.060837418628948,6496,415,23372,1514
