"","size.train","nrow.train","nrow.test","type.model","type.set","letter.to.test","value.to.test","deviance","error.test","error.train","nb.ok.test","nb.ko.test","nb.ok.train","nb.ko.train"
"1",0.5,13825,6912,"glm","without_location_without_risk_factor","F","0",3639.72234902218,0.0376157407407407,0.0359493670886076,6652,260,13328,497
"2",0.5,13825,6912,"glm","without_location_without_risk_factor","F","1",4299.0682490944,0.0454282407407407,0.0413019891500904,6598,314,13254,571
"3",0.5,13825,6912,"glm","without_location_without_risk_factor","F","2",6747.26050745226,0.0711805555555556,0.0718264014466546,6420,492,12832,993
"4",0.5,13825,6912,"glm","without_location_without_risk_factor","F","3",3007.53836753515,0.0277777777777778,0.0294394213381555,6720,192,13418,407
"5",0.5,13825,6912,"glm","without_location_without_risk_factor","F","ALL",NA,0.0910011574074074,0.0892585895117541,6283,629,12591,1234
"6",0.7,19356,6912,"glm","without_location_without_risk_factor","F","0",5184.12539679286,0.0377604166666667,0.0375077495350279,6651,261,18630,726
"7",0.7,19356,6912,"glm","without_location_without_risk_factor","F","1",6413.35187635438,0.0451388888888889,0.0445856581938417,6600,312,18493,863
"8",0.7,19356,6912,"glm","without_location_without_risk_factor","F","2",9642.04157854775,0.0704571759259259,0.0738272370324447,6425,487,17927,1429
"9",0.7,19356,6912,"glm","without_location_without_risk_factor","F","3",4262.05116772418,0.0274884259259259,0.0291382517048977,6722,190,18792,564
"10",0.7,19356,6912,"glm","without_location_without_risk_factor","F","ALL",NA,0.0904224537037037,0.092529448233106,6287,625,17565,1791
"11",0.9,24886,6912,"glm","without_location_without_risk_factor","F","0",6461.93272018066,0.0377604166666667,0.0362050952342683,6651,261,23985,901
"12",0.9,24886,6912,"glm","without_location_without_risk_factor","F","1",8115.3581128765,0.0451388888888889,0.0437997267539982,6600,312,23796,1090
"13",0.9,24886,6912,"glm","without_location_without_risk_factor","F","2",12285.9894690129,0.0706018518518518,0.0727718395885237,6424,488,23075,1811
"14",0.9,24886,6912,"glm","without_location_without_risk_factor","F","3",5497.75216906252,0.0276331018518519,0.0290122960700796,6721,191,24164,722
"15",0.9,24886,6912,"glm","without_location_without_risk_factor","F","ALL",NA,0.0905671296296296,0.0908944788234349,6286,626,22624,2262
