"percent.train","debut","fin","ok.train","ko.train","ok.test","ko.test","prc.ko.train","prc.ko.test"
0.8,0,0,14925,1841,3714,477,10.980555886914,11.3815318539728
0.8,0,1,15247,1519,3804,387,9.06000238578075,9.23407301360057
0.8,0,2,16206,560,4049,142,3.34009304544912,3.38821283703173
0.8,1,0,48173,2137,12048,529,4.24766448022262,4.20609048262702
0.8,1,1,44788,5522,11201,1376,10.975949115484,10.940605867854
0.8,1,2,46881,3429,11719,858,6.81574239713775,6.82197662399618
0.8,2,0,10125,408,2516,116,3.87354030190829,4.40729483282675
0.8,2,1,9284,1248,2321,312,11.8496012153437,11.8496012153437
0.8,2,2,8862,1671,2215,417,15.8644260894332,15.8434650455927
0.9,0,0,16794,2068,1863,232,10.963842646591,11.0739856801909
0.9,0,1,17153,1709,1906,189,9.0605450111335,9.02147971360382
0.9,0,2,18234,628,2029,66,3.32944544587,3.15035799522673
0.9,1,0,54200,2399,6013,275,4.23859078782311,4.3734096692112
0.9,1,1,50389,6210,5607,681,10.9719252990336,10.8301526717557
0.9,1,2,52738,3861,5858,430,6.82167529461651,6.83842239185751
0.9,2,0,11389,461,1252,63,3.89029535864979,4.79087452471483
0.9,2,1,10445,1404,1160,156,11.8491011899738,11.854103343465
0.9,2,2,9980,1870,1103,212,15.7805907172996,16.1216730038023
