"percent.train","debut","fin","ok.train","ko.train","ok.test","ko.test","prc.ko.train","prc.ko.test"
0.7,0,0,32396,4548,13884,1948,12.3105240363794,12.3041940373926
0.7,0,1,32397,4547,13884,1948,12.3078172368991,12.3041940373926
0.7,1,0,27783,3181,11906,1363,10.2732205141455,10.2720627025398
0.7,1,1,27783,3181,11906,1363,10.2732205141455,10.2720627025398
0.8,0,0,37025,5196,9256,1299,12.3066720352431,12.306963524396
0.8,0,1,37025,5196,9256,1299,12.3066720352431,12.306963524396
0.8,1,0,31753,3635,7937,908,10.2718435627896,10.2656868287168
0.8,1,1,31753,3635,7937,908,10.2718435627896,10.2656868287168
0.9,0,0,41654,5845,4628,649,12.3055222215205,12.2986545385636
0.9,0,1,41653,5846,4628,649,12.3076275290006,12.2986545385636
0.9,1,0,35722,4089,3968,454,10.271030619678,10.2668475802804
0.9,1,1,35721,4090,3968,454,10.273542488257,10.2668475802804
