"percent.train","debut","fin","ok.train","ko.train","ok.test","ko.test","prc.ko.train","prc.ko.test"
0.7,0,0,33380,4432,14306,1898,11.7211467259071,11.7131572451247
0.7,0,1,33382,4430,14305,1899,11.7158573997673,11.7193285608492
0.7,1,0,27002,3094,11565,1332,10.2804359383307,10.3279832519191
0.7,1,1,26996,3100,11569,1328,10.3003721424774,10.2969682871986
0.8,0,0,38149,5065,9537,1265,11.7207386495117,11.7107942973523
0.8,0,1,38149,5065,9536,1266,11.7207386495117,11.7200518422514
0.8,1,0,30856,3540,7710,887,10.2918944063263,10.31755263464
0.8,1,1,30851,3545,7712,885,10.3064309803466,10.2942887053623
0.9,0,0,42918,5698,4768,632,11.7204212604904,11.7037037037037
0.9,0,1,42918,5698,4767,633,11.7204212604904,11.7222222222222
0.9,1,0,34712,3983,3856,442,10.2933195503295,10.2838529548627
0.9,1,1,34709,3986,3853,445,10.3010724899858,10.3536528617962
