"percent.train","debut","fin","ok.train","ko.train","ok.test","ko.test","prc.ko.train","prc.ko.test"
0.7,0,0,20846,1317,8934,563,5.94233632630961,5.92818784879436
0.7,0,1,21659,504,9251,246,2.27406037088842,2.59029167105402
0.7,0,2,21257,906,9098,399,4.08789423814466,4.20132673475834
0.7,0,3,21960,203,9402,95,0.915940982718946,1.00031588922818
0.7,1,0,15751,397,6748,170,2.45850879365866,2.45735761780862
0.7,1,1,14382,1765,6164,755,10.9308230631077,10.9119815002168
0.7,1,2,14904,1244,6347,571,7.70374040128809,8.25383058687482
0.7,1,3,15994,153,6856,63,0.947544435498854,0.910536204653852
0.7,2,0,25178,973,10766,440,3.72069901724599,3.92646796359093
0.7,2,1,24344,1806,10414,793,6.90630975143403,7.07593468367984
0.7,2,2,22513,3638,9653,1553,13.9115139000421,13.8586471533107
0.7,2,3,25233,918,10806,400,3.51038201216015,3.56951633053721
0.7,3,0,3359,90,1431,46,2.60945201507683,3.1144211238998
0.7,3,1,3348,101,1422,55,2.92838503914178,3.7237643872715
0.7,3,2,3080,369,1287,190,10.698753261815,12.863913337847
0.7,3,3,2920,529,1236,241,15.3377790663961,16.3168584969533
0.8,0,0,23849,1480,5949,382,5.84310474160054,6.03380192702575
0.8,0,1,24721,607,6179,153,2.39655716993051,2.41629816803538
0.8,0,2,24291,1037,6070,262,4.09428300694883,4.13771320277953
0.8,0,3,25098,231,6268,63,0.911998104939003,0.995103459169168
0.8,1,0,17998,456,4499,113,2.47100899533976,2.4501300954033
0.8,1,1,16444,2009,4114,499,10.8871186256977,10.8172555820507
0.8,1,2,17016,1438,4244,368,7.79234854232145,7.97918473547268
0.8,1,3,18279,175,4567,45,0.948303890755392,0.975715524718127
0.8,2,0,28775,1112,7175,295,3.72068123264296,3.94912985274431
0.8,2,1,27802,2084,6947,524,6.97316469249816,7.01378664168117
0.8,2,2,25723,4163,6434,1037,13.9295991434116,13.8803373042431
0.8,2,3,28823,1064,7217,253,3.56007628734901,3.38688085676037
0.8,3,0,3842,99,957,28,2.51205277848262,2.84263959390863
0.8,3,1,3833,108,944,41,2.74042121289013,4.16243654822335
0.8,3,2,3497,444,867,118,11.2661760974372,11.9796954314721
0.8,3,3,3354,588,807,177,14.9162861491629,17.9878048780488
0.9,0,0,26809,1686,2974,191,5.91682751359888,6.0347551342812
0.9,0,1,27824,671,3084,81,2.35479908755922,2.55924170616114
0.9,0,2,27320,1175,3044,121,4.12353044393753,3.82306477093207
0.9,0,3,28227,268,3134,31,0.940515879978944,0.979462875197472
0.9,1,0,20250,510,2249,57,2.45664739884393,2.47181266261925
0.9,1,1,18509,2251,2049,257,10.8429672447013,11.1448395490026
0.9,1,2,19126,1634,2129,177,7.87090558766859,7.67562879444926
0.9,1,3,20560,200,2291,15,0.963391136801541,0.650477016478751
0.9,2,0,32359,1264,3584,150,3.75933141004669,4.01713979646492
0.9,2,1,31284,2338,3476,259,6.95378026292309,6.93440428380187
0.9,2,2,28937,4685,3227,508,13.9343287133425,13.6010709504685
0.9,2,3,32439,1183,3604,131,3.51852953423354,3.50736278447122
0.9,3,0,4312,122,481,11,2.75146594497068,2.23577235772358
0.9,3,1,4295,139,475,17,3.13486693730266,3.45528455284553
0.9,3,2,3943,491,427,65,11.0735227785295,13.2113821138211
0.9,3,3,3762,672,407,85,15.1556156968877,17.2764227642276
