"percent.train","debut","fin","ok.train","ko.train","ok.test","ko.test","prc.ko.train","prc.ko.test"
0.5,1,1,8236,2224,8180,2279,21.2619502868069,21.7898460655894
0.5,1,2,8827,1633,8829,1630,15.6118546845124,15.5846639258055
0.5,1,3,9845,615,9842,617,5.87954110898662,5.89922554737547
0.5,1,4,10280,180,10276,183,1.7208413001912,1.74968926283584
0.5,2,1,18633,1656,18633,1654,8.16205825816945,8.15300438704589
0.5,2,2,16897,3392,16865,3422,16.7184188476514,16.8679449894021
0.5,2,3,18802,1487,18842,1445,7.32909458327172,7.12278799231035
0.5,2,4,19790,499,19751,536,2.45946079156193,2.64208606496771
0.5,3,1,13566,221,13551,236,1.60295930949445,1.71175745267281
0.5,3,2,13279,508,13237,550,3.68463044897367,3.98926524987307
0.5,3,3,12322,1465,12324,1463,10.6259519837528,10.6114455646624
0.5,3,4,13047,740,13031,756,5.36737506346558,5.48342641618916
0.5,4,1,3829,141,3809,161,3.55163727959698,4.05541561712846
0.5,4,2,3678,292,3653,317,7.3551637279597,7.98488664987406
0.5,4,3,3494,477,3459,510,12.0120876353563,12.8495842781557
0.5,4,4,3269,702,3213,756,17.6781667086376,19.047619047619
0.7,1,1,11548,3096,4880,1395,21.1417645452062,22.2310756972112
0.7,1,2,12374,2270,5312,963,15.5012291723573,15.3466135458167
0.7,1,3,13796,848,5904,371,5.79076754984977,5.91235059760956
0.7,1,4,14398,246,6161,114,1.67986888828189,1.81673306772908
0.7,2,1,26101,2303,11181,991,8.1080129559217,8.14163654288531
0.7,2,2,23703,4701,10098,2074,16.5504858470638,17.0391061452514
0.7,2,3,26351,2053,11305,867,7.22785523165751,7.12290502793296
0.7,2,4,27694,710,11853,319,2.49964793691029,2.62076897798225
0.7,3,1,18974,329,8141,130,1.70439828006009,1.57175674041833
0.7,3,2,18582,721,7937,334,3.7351706988551,4.03820577922863
0.7,3,3,17255,2048,7382,889,10.609749779827,10.7483980171684
0.7,3,4,18249,1054,7819,452,5.46029114645392,5.46487728206988
0.7,4,1,5361,198,2286,95,3.56179168915273,3.98992020159597
0.7,4,2,5120,439,2207,174,7.8971037956467,7.30785384292314
0.7,4,3,4871,688,2078,303,12.37632667746,12.7257454850903
0.7,4,4,4556,1003,1914,467,18.0428134556575,19.6136077278454
0.9,1,1,14786,4042,1635,456,21.4680263437434,21.8077474892396
0.9,1,2,15888,2940,1795,296,15.6150414276609,14.155906264945
0.9,1,3,17724,1104,1969,122,5.8636073932441,5.83452893352463
0.9,1,4,18499,329,2057,34,1.74739749309539,1.6260162601626
0.9,2,1,33560,2960,3721,335,8.10514786418401,8.25936883629191
0.9,2,2,30420,6099,3372,685,16.7008954242997,16.8843973379344
0.9,2,3,33882,2637,3767,290,7.22089871026041,7.14813901897954
0.9,2,4,35594,926,3955,101,2.53559693318729,2.49013806706114
0.9,3,1,24398,420,2716,40,1.69232009025707,1.45137880986938
0.9,3,2,23880,937,2640,117,3.77563766772777,4.24374319912949
0.9,3,3,22219,2599,2451,305,10.4722378918527,11.066763425254
0.9,3,4,23470,1348,2604,152,5.43154162301555,5.51523947750363
0.9,4,1,6895,252,764,29,3.52595494613124,3.65699873896595
0.9,4,2,6605,542,726,67,7.58360151112355,8.44892812105927
0.9,4,3,6261,886,694,99,12.3968098502868,12.484237074401
0.9,4,4,5869,1278,633,160,17.8816286553799,20.1765447667087
