"","letter","alpha","lambda","prc.ok","prc.ko"
"1","A",0,321.21527137044,61.2720338109473,38.7279661890527
"2","A",0,266.172713151671,61.2720338109473,38.7279661890527
"3","A",0,220.562095084255,61.2720338109473,38.7279661890527
"4","A",0,182.767186057256,61.2720338109473,38.7279661890527
"5","A",0,151.448707841332,61.2720338109473,38.7279661890527
"6","A",0,125.496877210901,61.2720338109473,38.7279661890527
"7","A",0,103.992080316645,61.2720338109473,38.7279661890527
"8","A",0,86.1722857885115,61.2720338109473,38.7279661890527
"9","A",0,71.4060418390185,61.2720338109473,38.7279661890527
"10","A",0,59.1701005080619,61.2720338109473,38.7279661890527
"11","A",0,49.0308761550908,61.2720338109473,38.7279661890527
"12","A",0,40.6290811726491,61.2720338109473,38.7279661890527
"13","A",0,33.666994481442,61.2720338109473,38.7279661890527
"14","A",0,27.8979116607854,61.2720338109473,38.7279661890527
"15","A",0,23.1174028754483,61.2720338109473,38.7279661890527
"16","A",0,19.1560688199103,61.2720338109473,38.7279661890527
"17","A",0,15.8735379839256,61.2720338109473,38.7279661890527
"18","A",0,13.1534925300143,61.2720338109473,38.7279661890527
"19","A",0,10.8995465227944,61.2720338109473,38.7279661890527
"20","A",0,9.03183045350701,61.2720338109473,38.7279661890527
"21","A",0,7.48416103094744,61.2720338109473,38.7279661890527
"22","A",0,6.20169594917526,61.2720338109473,38.7279661890527
"23","A",0,5.13899052772625,61.2789059547126,38.7210940452874
"24","A",0,4.25838736056904,61.3373191767172,38.6626808232828
"25","A",0,3.52868191035127,61.4781981239048,38.5218018760952
"26","A",0,2.92401676271564,61.7633920901625,38.2366079098375
"27","A",0,2.42296535813027,62.7392365048277,37.2607634951723
"28","A",0,2.00777273289191,64.2407999175343,35.7592000824657
"29","A",0,1.66372636464558,66.3333676940522,33.6666323059478
"30","A",0,1.37863482807136,69.2059237879256,30.7940762120744
"31","A",0,1.14239578668709,72.1472013194516,27.8527986805484
"32","A",0,0.946638012377898,74.5112187746968,25.4887812253032
"33","A",0,0.784424747466469,76.6484554856888,23.3515445143112
"34","A",0,0.65000789783645,78.4627014397141,21.5372985602859
"35","A",0,0.538624346840641,79.7099955331066,20.2900044668934
"36","A",0,0.446327172293072,80.6961481634196,19.3038518365804
"37","A",0,0.369845785649321,81.4005428993575,18.5994571006425
"38","A",0,0.306470037349073,81.8781568910422,18.1218431089578
"39","A",0,0.253954181545815,82.2252001511872,17.7747998488128
"40","A",0,0.210437297174166,82.555063051919,17.444936948081
"41","A",0,0.174377345442446,82.7646634367591,17.2353365632409
"42","A",0,0.144496527050468,83.0154966841906,16.9845033158094
"43","A",0,0.119736002842971,83.1804281345566,16.8195718654434
"44","A",0,0.0992183734063362,83.3109988660963,16.6890011339037
"45","A",0,0.0822165880575579,83.4243892382229,16.5756107617771
"46","A",0,0.0681281815026661,83.5068549634058,16.4931450365942
"47","A",0,0.0564539252299165,83.6271174792977,16.3728825207023
"48","A",0,0.046780137141049,83.7301996357764,16.2698003642236
"49","A",0,0.0387640225550813,83.8023571453115,16.1976428546885
"50","A",0,0.0321215271370441,83.8332817922551,16.1667182077449
"51","A",0.25,1.28486108548177,61.2720338109473,38.7279661890527
"52","A",0.25,1.0646908526067,61.2720338109473,38.7279661890527
"53","A",0.25,0.882248380337031,61.2720338109473,38.7279661890527
"54","A",0.25,0.731068744229032,61.2754698828299,38.7245301171701
"55","A",0.25,0.605794831365337,61.3613716798955,38.6386283201045
"56","A",0.25,0.501987508843609,61.8389856715802,38.1610143284198
"57","A",0.25,0.415968321266584,63.9246813043329,36.0753186956671
"58","A",0.25,0.34468914315405,67.9929904133595,32.0070095866405
"59","A",0.25,0.285624167356077,79.5244476514449,20.4755523485551
"60","A",0.25,0.23668040203225,82.0190358382297,17.9809641617703
"61","A",0.25,0.196123504620365,82.7062502147545,17.2937497852455
"62","A",0.25,0.162516324690598,83.094526337491,16.905473662509
"63","A",0.25,0.134667977925769,83.2972545785658,16.7027454214342
"64","A",0.25,0.111591646643143,83.3762842318661,16.6237157681339
"65","A",0.25,0.0924696115017942,83.4278253101055,16.5721746898945
"66","A",0.25,0.0766242752796421,83.469058172697,16.530941827303
"67","A",0.25,0.0634941519357033,83.5102910352885,16.4897089647115
"68","A",0.25,0.0526139701200578,83.5549599697626,16.4450400302374
"69","A",0.25,0.0435981860911782,83.623681407415,16.376318592585
"70","A",0.25,0.0361273218140285,83.6580421262413,16.3419578737587
"71","A",0.25,0.0299366441237901,83.6683503418892,16.3316496581108
"72","A",0.25,0.0248067837967013,83.7508160670721,16.2491839329279
"73","A",0.25,0.0205559621109052,83.7508160670721,16.2491839329279
"74","A",0.25,0.0170335494422763,83.8504621516682,16.1495378483318
"75","A",0.25,0.0141147276414052,83.8985671580249,16.1014328419751
"76","A",0.25,0.0116960670508627,83.97072466756,16.02927533244
"77","A",0.25,0.00969186143252117,84.053190392743,15.946809607257
"78","A",0.25,0.00803109093156772,84.0841150396866,15.9158849603134
"79","A",0.25,0.00665490545858239,84.0875511115693,15.9124488884307
"80","A",0.25,0.00551453931228548,84.108167542865,15.891832457135
"81","A",0.25,0.00456958314674841,84.0978593272171,15.9021406727829
"82","A",0.25,0.00378655204951164,84.1150396866302,15.8849603133698
"83","A",0.25,0.00313769898986591,84.1459643335739,15.8540356664261
"84","A",0.25,0.00260003159134583,84.1665807648696,15.8334192351304
"85","A",0.25,0.00215449738736259,84.190633268048,15.809366731952
"86","A",0.25,0.00178530868917231,84.1597086211044,15.8402913788956
"87","A",0.25,0.0014793831425973,84.1768889805175,15.8231110194825
"88","A",0.25,0.00122588014939631,84.1837611242827,15.8162388757173
"89","A",0.25,0.00101581672618327,84.1768889805175,15.8231110194825
"90","A",0.25,0.000841749188696672,84.1803250524001,15.8196749475999
"91","A",0.25,0.000697509381769792,84.1768889805175,15.8231110194825
"92","A",0.25,0.000577986108201877,84.1768889805175,15.8231110194825
"93","A",0.25,0.000478944011371891,84.1768889805175,15.8231110194825
"94","A",0.25,0.000396873493625349,84.1700168367522,15.8299831632478
"95","A",0.25,0.000328866352230235,84.1597086211044,15.8402913788956
"96","A",0.25,0.000272512726010668,84.1562725492217,15.8437274507783
"97","A",0.25,0.000225815700919668,84.1665807648696,15.8334192351304
"98","A",0.25,0.000187120548564198,84.163144692987,15.836855307013
"99","A",0.5,0.642430542740887,61.2720338109473,38.7279661890527
"100","A",0.5,0.532345426303348,61.2720338109473,38.7279661890527
"101","A",0.5,0.441124190168516,61.2720338109473,38.7279661890527
"102","A",0.5,0.365534372114516,61.3819881111913,38.6180118888087
"103","A",0.5,0.302897415682669,62.5914854138749,37.4085145861251
"104","A",0.5,0.250993754421804,66.5567123664227,33.4432876335773
"105","A",0.5,0.207984160633292,79.9539566367728,20.0460433632272
"106","A",0.5,0.172344571577025,82.080885132117,17.919114867883
"107","A",0.5,0.142812083678039,82.7784077242896,17.2215922757104
"108","A",0.5,0.118340201016125,83.1907363502044,16.8092636497956
"109","A",0.5,0.0980617523101827,83.1838642064392,16.8161357935608
"110","A",0.5,0.081258162345299,83.3831563756314,16.6168436243686
"111","A",0.5,0.0673339889628847,83.4759303164622,16.5240696835378
"112","A",0.5,0.0557958233215715,83.4896746039927,16.5103253960073
"113","A",0.5,0.0462348057508971,83.5687042572931,16.4312957427069
"114","A",0.5,0.0383121376398211,83.596192832354,16.4038071676459
"115","A",0.5,0.0317470759678517,83.6099371198845,16.3900628801155
"116","A",0.5,0.0263069850600289,83.6546060543587,16.3453939456413
"117","A",0.5,0.0217990930455891,83.6752224856544,16.3247775143456
"118","A",0.5,0.0180636609070142,83.6820946294197,16.3179053705804
"119","A",0.5,0.014968322061895,83.7370717795416,16.2629282204584
"120","A",0.5,0.0124033918983507,83.7817407140157,16.2182592859843
"121","A",0.5,0.0102779810554526,83.8779507267292,16.1220492732708
"122","A",0.5,0.00851677472113817,83.9294918049686,16.0705081950314
"123","A",0.5,0.00705736382070262,83.9810328832079,16.0189671167921
"124","A",0.5,0.00584803352543135,84.0394461052125,15.9605538947875
"125","A",0.5,0.00484593071626059,84.1012953990998,15.8987046009003
"126","A",0.5,0.00401554546578386,84.0978593272171,15.9021406727829
"127","A",0.5,0.00332745272929119,84.1184757585129,15.8815242414871
"128","A",0.5,0.00275726965614274,84.1459643335739,15.8540356664261
"129","A",0.5,0.0022847915733742,84.1425282616912,15.8574717383088
"130","A",0.5,0.00189327602475582,84.1665807648696,15.8334192351304
"131","A",0.5,0.00156884949493296,84.2078136274611,15.7921863725389
"132","A",0.5,0.00130001579567292,84.190633268048,15.809366731952
"133","A",0.5,0.00107724869368129,84.2043775555785,15.7956224444215
"134","A",0.5,0.000892654344586154,84.190633268048,15.809366731952
"135","A",0.5,0.000739691571298651,84.2009414836958,15.7990585163042
"136","A",0.5,0.000612940074698153,84.2043775555785,15.7956224444215
"137","A",0.5,0.000507908363091635,84.190633268048,15.809366731952
"138","A",0.5,0.000420874594348336,84.190633268048,15.809366731952
"139","A",0.5,0.000348754690884896,84.1837611242827,15.8162388757173
"140","A",0.5,0.000288993054100938,84.1803250524001,15.8196749475999
"141","A",0.5,0.000239472005685945,84.163144692987,15.836855307013
"142","A",0.5,0.000198436746812675,84.1734529086348,15.8265470913652
"143","A",0.5,0.000164433176115118,84.1768889805175,15.8231110194825
"144","A",0.5,0.000136256363005334,84.1700168367522,15.8299831632478
"145","A",0.5,0.000112907850459834,84.1734529086348,15.8265470913652
"146","A",0.75,0.428287028493925,61.2720338109473,38.7279661890527
"147","A",0.75,0.354896950868899,61.2720338109473,38.7279661890527
"148","A",0.75,0.294082793445677,61.2720338109473,38.7279661890527
"149","A",0.75,0.243689581409677,61.9351956842937,38.0648043157063
"150","A",0.75,0.201931610455112,66.563584510188,33.436415489812
"151","A",0.75,0.167329169614536,79.9539566367728,20.0460433632272
"152","A",0.75,0.138656107088861,81.1325292925128,18.8674707074872
"153","A",0.75,0.11489638105135,82.802460227468,17.197539772532
"154","A",0.75,0.0952080557853591,83.1769920626739,16.8230079373261
"155","A",0.75,0.0788934673440834,83.2044806377349,16.7955193622651
"156","A",0.75,0.0653745015401218,83.1976084939697,16.8023915060303
"157","A",0.75,0.0541721082301994,83.4793663883448,16.5206336116552
"158","A",0.75,0.0448893259752565,83.5583960416452,16.4416039583548
"159","A",0.75,0.0371972155477143,83.596192832354,16.4038071676459
"160","A",0.75,0.0308232038339314,83.6442978387108,16.3557021612892
"161","A",0.75,0.025541425093214,83.6924028450675,16.3075971549325
"162","A",0.75,0.0211647173119011,83.6752224856544,16.3247775143456
"163","A",0.75,0.0175379900400193,83.6992749888328,16.3007250111672
"164","A",0.75,0.0145327286970594,83.7027110607154,16.2972889392846
"165","A",0.75,0.0120424406046762,83.733635707659,16.266364292341
"166","A",0.75,0.00997888137459669,83.7817407140157,16.2182592859843
"167","A",0.75,0.00826892793223377,83.8367178641377,16.1632821358623
"168","A",0.75,0.00685198737030174,83.9054393017902,16.0945606982098
"169","A",0.75,0.00567784981409211,83.9604164519122,16.0395835480878
"170","A",0.75,0.00470490921380174,84.0188296739168,15.9811703260832
"171","A",0.75,0.00389868901695423,84.0909871834519,15.9090128165481
"172","A",0.75,0.00323062047750706,84.1219118303955,15.8780881696045
"173","A",0.75,0.00267703031052257,84.1253479022781,15.8746520977219
"174","A",0.75,0.00221830181952746,84.1322200460434,15.8677799539566
"175","A",0.75,0.00183817977076183,84.1390921898086,15.8609078101914
"176","A",0.75,0.00152319438224947,84.1322200460434,15.8677799539566
"177","A",0.75,0.00126218401650388,84.190633268048,15.809366731952
"178","A",0.75,0.00104589966328864,84.218121843109,15.781878156891
"179","A",0.75,0.000866677197115276,84.218121843109,15.781878156891
"180","A",0.75,0.000718165795787529,84.2146857712263,15.7853142287737
"181","A",0.75,0.000595102896390769,84.2146857712263,15.7853142287737
"182","A",0.75,0.000493127714199101,84.2043775555785,15.7956224444215
"183","A",0.75,0.000408626716465435,84.1975054118132,15.8024945881868
"184","A",0.75,0.000338605575394423,84.1940693399306,15.8059306600694
"185","A",0.75,0.000280583062898891,84.1975054118132,15.8024945881868
"186","A",0.75,0.000232503127256597,84.1837611242827,15.8162388757173
"187","A",0.75,0.000192662036067292,84.1768889805175,15.8231110194825
